"","Site","Actual_evaporation","Soil_moisture_root","Timestamp","Year","Month","Day","Date","Time"
"1","BangorDIVERSE",6.4243950843811,0.401888221502304,"1980.01.16",1980,1,16,1980-01-16,3667
"2","BangorDIVERSE",16.2355499267578,0.415347218513489,"1980.02.15",1980,2,15,1980-02-15,3697
"3","BangorDIVERSE",28.8772354125977,0.413919359445572,"1980.03.16",1980,3,16,1980-03-16,3727
"4","BangorDIVERSE",51.7902870178223,0.398859113454819,"1980.04.15",1980,4,15,1980-04-15,3757
"5","BangorDIVERSE",86.4108047485352,0.357913345098495,"1980.05.16",1980,5,16,1980-05-16,3788
"6","BangorDIVERSE",81.2688446044922,0.366606384515762,"1980.06.15",1980,6,15,1980-06-15,3818
"7","BangorDIVERSE",80.8218154907227,0.369448959827423,"1980.07.16",1980,7,16,1980-07-16,3849
"8","BangorDIVERSE",64.7632446289062,0.390013724565506,"1980.08.16",1980,8,16,1980-08-16,3880
"9","BangorDIVERSE",42.0549964904785,0.400458335876465,"1980.09.15",1980,9,15,1980-09-15,3910
"10","BangorDIVERSE",19.2051868438721,0.412151247262955,"1980.10.16",1980,10,16,1980-10-16,3941
"11","BangorDIVERSE",7.58917427062988,0.414592176675797,"1980.11.15",1980,11,15,1980-11-15,3971
"12","BangorDIVERSE",6.84621715545654,0.414741814136505,"1980.12.16",1980,12,16,1980-12-16,4002
"13","BangorDIVERSE",5.12332153320312,0.413310796022415,"1981.01.16",1981,1,16,1981-01-16,4033
"14","BangorDIVERSE",9.41439533233643,0.411990910768509,"1981.02.14",1981,2,14,1981-02-14,4062
"15","BangorDIVERSE",36.246753692627,0.414904952049255,"1981.03.16",1981,3,16,1981-03-16,4092
"16","BangorDIVERSE",52.515941619873,0.397845715284348,"1981.04.15",1981,4,15,1981-04-15,4122
"17","BangorDIVERSE",74.1854553222656,0.408159971237183,"1981.05.16",1981,5,16,1981-05-16,4153
"18","BangorDIVERSE",77.8175048828125,0.405408084392548,"1981.06.15",1981,6,15,1981-06-15,4183
"19","BangorDIVERSE",82.5681076049805,0.377107799053192,"1981.07.16",1981,7,16,1981-07-16,4214
"20","BangorDIVERSE",69.5039138793945,0.3636754155159,"1981.08.16",1981,8,16,1981-08-16,4245
"21","BangorDIVERSE",44.5407066345215,0.375638514757156,"1981.09.15",1981,9,15,1981-09-15,4275
"22","BangorDIVERSE",23.1926288604736,0.416119754314423,"1981.10.16",1981,10,16,1981-10-16,4306
"23","BangorDIVERSE",7.71933889389038,0.414374709129333,"1981.11.15",1981,11,15,1981-11-15,4336
"24","BangorDIVERSE",4.34397745132446,0.41372486948967,"1981.12.16",1981,12,16,1981-12-16,4367
"25","BangorDIVERSE",5.40464019775391,0.412856996059418,"1982.01.16",1982,1,16,1982-01-16,4398
"26","BangorDIVERSE",10.8579378128052,0.413385063409805,"1982.02.14",1982,2,14,1982-02-14,4427
"27","BangorDIVERSE",30.893913269043,0.412617772817612,"1982.03.16",1982,3,16,1982-03-16,4457
"28","BangorDIVERSE",54.3697242736816,0.399709582328796,"1982.04.15",1982,4,15,1982-04-15,4487
