"","exp","block","plot","SR","SpComp","year","sum_alive","n_initial","proportion_alive"
"1","FORBIO_Ged","1","1",4,"ACPS_LAEU_PSME_QUPE",0,784,784,1
"2","FORBIO_Ged","1","1",4,"ACPS_LAEU_PSME_QUPE",1,685,784,0.873724489795918
"3","FORBIO_Ged","1","1",4,"ACPS_LAEU_PSME_QUPE",2,696,784,0.887755102040816
"4","FORBIO_Ged","1","1",4,"ACPS_LAEU_PSME_QUPE",3,608,784,0.775510204081633
"5","FORBIO_Ged","1","10",2,"LAEU_PSME",0,784,784,1
"6","FORBIO_Ged","1","10",2,"LAEU_PSME",1,636,784,0.811224489795918
"7","FORBIO_Ged","1","10",2,"LAEU_PSME",2,709,784,0.904336734693878
"8","FORBIO_Ged","1","10",2,"LAEU_PSME",3,711,783,0.908045977011494
"9","FORBIO_Ged","1","11",1,"QUPE",0,784,784,1
"10","FORBIO_Ged","1","11",1,"QUPE",1,714,784,0.910714285714286
"11","FORBIO_Ged","1","11",1,"QUPE",2,721,784,0.919642857142857
"12","FORBIO_Ged","1","11",1,"QUPE",3,704,783,0.899106002554278
"13","FORBIO_Ged","1","12",4,"ACPS_FASY_LAEU_QUPE",0,784,784,1
"14","FORBIO_Ged","1","12",4,"ACPS_FASY_LAEU_QUPE",1,644,784,0.821428571428571
"15","FORBIO_Ged","1","12",4,"ACPS_FASY_LAEU_QUPE",2,649,784,0.82780612244898
"16","FORBIO_Ged","1","12",4,"ACPS_FASY_LAEU_QUPE",3,643,784,0.82015306122449
"17","FORBIO_Ged","1","13",1,"LAEU",0,784,784,1
"18","FORBIO_Ged","1","13",1,"LAEU",1,680,784,0.86734693877551
"19","FORBIO_Ged","1","13",1,"LAEU",2,784,784,1
"20","FORBIO_Ged","1","13",1,"LAEU",3,729,784,0.92984693877551
"21","FORBIO_Ged","1","14",2,"FASY_QUPE",0,784,784,1
"22","FORBIO_Ged","1","14",2,"FASY_QUPE",1,606,784,0.772959183673469
"23","FORBIO_Ged","1","14",2,"FASY_QUPE",2,669,784,0.853316326530612
"24","FORBIO_Ged","1","14",2,"FASY_QUPE",3,664,784,0.846938775510204
"25","FORBIO_Ged","1","15",1,"FASY",0,784,784,1
"26","FORBIO_Ged","1","15",1,"FASY",1,717,784,0.914540816326531
"27","FORBIO_Ged","1","15",1,"FASY",2,716,784,0.913265306122449
"28","FORBIO_Ged","1","15",1,"FASY",3,683,784,0.871173469387755
"29","FORBIO_Ged","1","16",4,"ACPS_FASY_PSME_QUPE",0,784,784,1
"30","FORBIO_Ged","1","16",4,"ACPS_FASY_PSME_QUPE",1,663,784,0.845663265306122
"31","FORBIO_Ged","1","16",4,"ACPS_FASY_PSME_QUPE",2,679,784,0.866071428571429
"32","FORBIO_Ged","1","16",4,"ACPS_FASY_PSME_QUPE",3,644,771,0.835278858625162
"33","FORBIO_Ged","1","17",2,"ACPS_FASY",0,784,784,1
"34","FORBIO_Ged","1","17",2,"ACPS_FASY",1,679,784,0.866071428571429
"35","FORBIO_Ged","1","17",2,"ACPS_FASY",2,728,784,0.928571428571429
"36","FORBIO_Ged","1","17",2,"ACPS_FASY",3,616,776,0.793814432989691
"37","FORBIO_Ged","1","18",3,"FASY_LAEU_PSME",0,784,784,1
"38","FORBIO_Ged","1","18",3,"FASY_LAEU_PSME",1,634,784,0.808673469387755
"39","FORBIO_Ged","1","18",3,"FASY_LAEU_PSME",2,641,784,0.817602040816326
"40","FORBIO_Ged","1","18",3,"FASY_LAEU_PSME",3,708,784,0.903061224489796
"41","FORBIO_Ged","1","19",3,"ACPS_LAEU_QUPE",0,784,784,1
"42","FORBIO_Ged","1","19",3,"ACPS_LAEU_QUPE",1,710,784,0.905612244897959
"43","FORBIO_Ged","1","19",3,"ACPS_LAEU_QUPE",2,674,784,0.85969387755102
"44","FORBIO_Ged","1","19",3,"ACPS_LAEU_QUPE",3,626,782,0.800511508951407
"45","FORBIO_Ged","1","2",1,"ACPS",0,784,784,1
