"","exp","year","block","plot","SR","SpComp","sum_alive","n_initial","proportion_alive","yearfilter_max","yearfilter_5y"
"1","BangorDIVERSE",0,"1","1",2,"ACPS_ALGL",80,80,1,0,0
"2","BangorDIVERSE",0,"1","10",3,"ALGL_BEPE_FREX",168,168,1,0,0
"3","BangorDIVERSE",0,"1","11",2,"ALGL_CASA",110,110,1,0,0
"4","BangorDIVERSE",0,"1","12",2,"ALGL_QURO",106,106,1,0,0
"5","BangorDIVERSE",0,"1","13",1,"CASA",60,60,1,0,0
"6","BangorDIVERSE",0,"1","14",1,"ACPS",59,59,1,0,0
"7","BangorDIVERSE",0,"1","15",2,"BEPE_FASY",92,92,1,0,0
"8","BangorDIVERSE",0,"1","16",3,"ALGL_BEPE_FASY",163,163,1,0,0
"9","BangorDIVERSE",0,"1","17",3,"ALGL_BEPE_QURO",162,162,1,0,0
"10","BangorDIVERSE",0,"1","2",2,"ACPS_BEPE",105,105,1,0,0
"11","BangorDIVERSE",0,"1","3",2,"ALGL_BEPE",81,81,1,0,0
"12","BangorDIVERSE",0,"1","5",1,"QURO",60,60,1,0,0
"13","BangorDIVERSE",0,"1","6",2,"BEPE_CASA",93,93,1,0,0
"14","BangorDIVERSE",0,"1","7",1,"FASY",62,62,1,0,0
"15","BangorDIVERSE",0,"1","9",2,"BEPE_FREX",97,97,1,0,0
"16","BangorDIVERSE",0,"1","93",2,"ALGL_BEPE",110,110,1,0,0
"17","BangorDIVERSE",0,"2","19",2,"BEPE_QURO",100,100,1,0,0
"18","BangorDIVERSE",0,"2","20",2,"ALGL_FASY",114,114,1,0,0
"19","BangorDIVERSE",0,"2","21",3,"ALGL_BEPE_CASA",168,168,1,0,0
"20","BangorDIVERSE",0,"2","22",1,"BEPE",56,56,1,0,0
"21","BangorDIVERSE",0,"2","23",2,"BEPE_QURO",99,99,1,0,0
"22","BangorDIVERSE",0,"2","24",2,"BEPE_FREX",103,103,1,0,0
"23","BangorDIVERSE",0,"2","25",2,"ALGL_FASY",110,110,1,0,0
"24","BangorDIVERSE",0,"2","26",2,"ALGL_FREX",101,101,1,0,0
"25","BangorDIVERSE",0,"2","27",2,"ALGL_BEPE",101,101,1,0,0
"26","BangorDIVERSE",0,"2","28",2,"ACPS_BEPE",99,99,1,0,0
"27","BangorDIVERSE",0,"2","29",2,"BEPE_FASY",100,100,1,0,0
"28","BangorDIVERSE",0,"2","30",2,"ALGL_FREX",102,102,1,0,0
"29","BangorDIVERSE",0,"2","31",2,"ALGL_CASA",100,100,1,0,0
"30","BangorDIVERSE",0,"2","32",2,"ALGL_QURO",100,100,1,0,0
"31","BangorDIVERSE",0,"2","33",3,"ALGL_BEPE_FASY",168,168,1,0,0
"32","BangorDIVERSE",0,"2","34",3,"ACPS_ALGL_BEPE",168,168,1,0,0
"33","BangorDIVERSE",0,"2","35",3,"ALGL_BEPE_QURO",168,168,1,0,0
"34","BangorDIVERSE",0,"2","36",1,"CASA",56,56,1,0,0
"35","BangorDIVERSE",0,"2","37",1,"BEPE",70,70,1,0,0
"36","BangorDIVERSE",0,"2","38",2,"BEPE_CASA",100,100,1,0,0
"37","BangorDIVERSE",0,"2","39",1,"ALGL",49,49,1,0,0
"38","BangorDIVERSE",0,"2","40",1,"FASY",49,49,1,0,0
"39","BangorDIVERSE",0,"2","41",1,"FREX",50,50,1,0,0
"40","BangorDIVERSE",0,"2","42",1,"QURO",48,48,1,0,0
"41","BangorDIVERSE",0,"2","43",1,"ACPS",57,57,1,0,0
"42","BangorDIVERSE",0,"2","44",1,"FREX",59,59,1,0,0
"43","BangorDIVERSE",0,"2","45",3,"ALGL_BEPE_CASA",168,168,1,0,0
"44","BangorDIVERSE",0,"2","46",3,"ALGL_BEPE_FREX",168,168,1,0,0
"45","BangorDIVERSE",0,"3","47",1,"FREX",68,68,1,0,0
"46","BangorDIVERSE",0,"3","48",1,"CASA",60,60,1,0,0
"47","BangorDIVERSE",0,"3","49",1,"ACPS",67,67,1,0,0
"48","BangorDIVERSE",0,"3","50",1,"ALGL",64,64,1,0,0
"49","BangorDIVERSE",0,"3","51",3,"ACPS_ALGL_BEPE",112,112,1,0,0
"50","BangorDIVERSE",0,"3","52",3,"ALGL_BEPE_FASY",147,147,1,0,0
"51","BangorDIVERSE",0,"3","53",3,"ALGL_BEPE_QURO",139,139,1,0,0
"52","BangorDIVERSE",0,"3","54",2,"BEPE_QURO",114,114,1,0,0
"53","BangorDIVERSE",0,"3","55",2,"BEPE_FREX",98,98,1,0,0
"54","BangorDIVERSE",0,"3","56",1,"BEPE",35,35,1,0,0
"55","BangorDIVERSE",0,"3","57",2,"ALGL_CASA",111,111,1,0,0
"56","BangorDIVERSE",0,"3","58",2,"ACPS_BEPE",116,116,1,0,0
"57","BangorDIVERSE",0,"3","59",1,"ACPS",40,40,1,0,0
"58","BangorDIVERSE",0,"3","60",2,"BEPE_CASA",121,121,1,0,0
"59","BangorDIVERSE",0,"3","61",2,"BEPE_CASA",115,115,1,0,0
"60","BangorDIVERSE",0,"3","62",1,"QURO",49,49,1,0,0
"61","BangorDIVERSE",0,"3","63",1,"QURO",66,66,1,0,0
"62","BangorDIVERSE",0,"3","64",2,"BEPE_FASY",101,101,1,0,0
"63","BangorDIVERSE",0,"3","66",2,"ALGL_FREX",110,110,1,0,0
"64","BangorDIVERSE",0,"3","67",3,"ALGL_BEPE_FASY",132,132,1,0,0
"65","BangorDIVERSE",0,"3","68",2,"ALGL_FASY",99,99,1,0,0
"66","BangorDIVERSE",0,"3","69",3,"ALGL_BEPE_CASA",156,156,1,0,0
"67","BangorDIVERSE",0,"3","70",3,"ALGL_BEPE_FREX",162,162,1,0,0
"68","BangorDIVERSE",0,"3","71",1,"FASY",56,56,1,0,0
"69","BangorDIVERSE",0,"3","73",3,"ALGL_BEPE_CASA",168,168,1,0,0
"70","BangorDIVERSE",0,"3","74",2,"ALGL_QURO",77,77,1,0,0
"71","BangorDIVERSE",0,"3","75",2,"BEPE_FREX",101,101,1,0,0
"72","BangorDIVERSE",0,"4","76",3,"ACPS_ALGL_BEPE",168,168,1,0,0
"73","BangorDIVERSE",0,"4","77",2,"ACPS_ALGL",65,65,1,0,0
"74","BangorDIVERSE",0,"4","78",3,"ALGL_BEPE_QURO",123,123,1,0,0
"75","BangorDIVERSE",0,"4","79",1,"FASY",48,48,1,0,0
"76","BangorDIVERSE",0,"4","80",2,"ALGL_QURO",83,83,1,0,0
"77","BangorDIVERSE",0,"4","82",2,"ACPS_BEPE",110,110,1,0,0
"78","BangorDIVERSE",0,"4","83",2,"ALGL_FREX",103,103,1,0,0
"79","BangorDIVERSE",0,"4","84",1,"CASA",40,40,1,0,0
"80","BangorDIVERSE",0,"4","85",1,"ALGL",39,39,1,0,0
"81","BangorDIVERSE",0,"4","86",2,"BEPE_QURO",76,76,1,0,0
"82","BangorDIVERSE",0,"4","88",2,"BEPE_FASY",90,90,1,0,0
"83","BangorDIVERSE",0,"4","89",2,"ACPS_ALGL",90,90,1,0,0
"84","BangorDIVERSE",0,"4","90",2,"ALGL_BEPE",96,96,1,0,0
"85","BangorDIVERSE",0,"4","91",1,"BEPE",79,79,1,0,0
"86","BangorDIVERSE",0,"4","92",1,"FREX",49,49,1,0,0
"87","BangorDIVERSE",9,"1","1",2,"ACPS_ALGL",68,80,0.85,1,1
"88","BangorDIVERSE",9,"1","10",3,"ALGL_BEPE_FREX",118,157,0.751592356687898,1,1
"89","BangorDIVERSE",9,"1","11",2,"ALGL_CASA",94,110,0.854545454545454,1,1
"90","BangorDIVERSE",9,"1","12",2,"ALGL_QURO",101,106,0.952830188679245,1,1
"91","BangorDIVERSE",9,"1","13",1,"CASA",42,60,0.7,1,1
"92","BangorDIVERSE",9,"1","14",1,"ACPS",48,59,0.813559322033898,1,1
"93","BangorDIVERSE",9,"1","15",2,"BEPE_FASY",91,92,0.989130434782609,1,1
"94","BangorDIVERSE",9,"1","16",3,"ALGL_BEPE_FASY",153,163,0.938650306748466,1,1
"95","BangorDIVERSE",9,"1","17",3,"ALGL_BEPE_QURO",154,162,0.950617283950617,1,1
"96","BangorDIVERSE",9,"1","2",2,"ACPS_BEPE",98,105,0.933333333333333,1,1
"97","BangorDIVERSE",9,"1","3",2,"ALGL_BEPE",67,81,0.827160493827161,1,1
"98","BangorDIVERSE",9,"1","5",1,"QURO",57,60,0.95,1,1
"99","BangorDIVERSE",9,"1","6",2,"BEPE_CASA",87,93,0.935483870967742,1,1
"100","BangorDIVERSE",9,"1","7",1,"FASY",54,62,0.870967741935484,1,1
"101","BangorDIVERSE",9,"1","9",2,"BEPE_FREX",93,97,0.958762886597938,1,1
"102","BangorDIVERSE",9,"1","93",2,"ALGL_BEPE",88,109,0.807339449541284,1,1
"103","BangorDIVERSE",9,"2","19",2,"BEPE_QURO",95,100,0.95,1,1
"104","BangorDIVERSE",9,"2","20",2,"ALGL_FASY",110,114,0.964912280701754,1,1
"105","BangorDIVERSE",9,"2","21",3,"ALGL_BEPE_CASA",125,164,0.76219512195122,1,1
"106","BangorDIVERSE",9,"2","22",1,"BEPE",48,56,0.857142857142857,1,1
"107","BangorDIVERSE",9,"2","23",2,"BEPE_QURO",91,99,0.919191919191919,1,1
"108","BangorDIVERSE",9,"2","24",2,"BEPE_FREX",93,103,0.902912621359223,1,1
"109","BangorDIVERSE",9,"2","25",2,"ALGL_FASY",97,110,0.881818181818182,1,1
"110","BangorDIVERSE",9,"2","26",2,"ALGL_FREX",88,101,0.871287128712871,1,1
"111","BangorDIVERSE",9,"2","27",2,"ALGL_BEPE",88,101,0.871287128712871,1,1
"112","BangorDIVERSE",9,"2","28",2,"ACPS_BEPE",85,98,0.86734693877551,1,1
"113","BangorDIVERSE",9,"2","29",2,"BEPE_FASY",96,100,0.96,1,1
"114","BangorDIVERSE",9,"2","30",2,"ALGL_FREX",90,102,0.882352941176471,1,1
"115","BangorDIVERSE",9,"2","31",2,"ALGL_CASA",84,100,0.84,1,1
"116","BangorDIVERSE",9,"2","32",2,"ALGL_QURO",94,100,0.94,1,1
"117","BangorDIVERSE",9,"2","33",3,"ALGL_BEPE_FASY",155,168,0.922619047619048,1,1
"118","BangorDIVERSE",9,"2","34",3,"ACPS_ALGL_BEPE",141,156,0.903846153846154,1,1
"119","BangorDIVERSE",9,"2","35",3,"ALGL_BEPE_QURO",161,167,0.964071856287425,1,1
"120","BangorDIVERSE",9,"2","36",1,"CASA",48,56,0.857142857142857,1,1
"121","BangorDIVERSE",9,"2","37",1,"BEPE",63,70,0.9,1,1
"122","BangorDIVERSE",9,"2","38",2,"BEPE_CASA",94,100,0.94,1,1
"123","BangorDIVERSE",9,"2","39",1,"ALGL",43,49,0.877551020408163,1,1
"124","BangorDIVERSE",9,"2","40",1,"FASY",47,49,0.959183673469388,1,1
"125","BangorDIVERSE",9,"2","41",1,"FREX",50,50,1,1,1
"126","BangorDIVERSE",9,"2","42",1,"QURO",41,48,0.854166666666667,1,1
"127","BangorDIVERSE",9,"2","43",1,"ACPS",52,57,0.912280701754386,1,1
"128","BangorDIVERSE",9,"2","44",1,"FREX",52,56,0.928571428571429,1,1
"129","BangorDIVERSE",9,"2","45",3,"ALGL_BEPE_CASA",156,168,0.928571428571429,1,1
"130","BangorDIVERSE",9,"2","46",3,"ALGL_BEPE_FREX",144,165,0.872727272727273,1,1
"131","BangorDIVERSE",9,"3","47",1,"FREX",66,68,0.970588235294118,1,1
"132","BangorDIVERSE",9,"3","48",1,"CASA",43,60,0.716666666666667,1,1
"133","BangorDIVERSE",9,"3","49",1,"ACPS",57,59,0.966101694915254,1,1
"134","BangorDIVERSE",9,"3","50",1,"ALGL",61,64,0.953125,1,1
"135","BangorDIVERSE",9,"3","51",3,"ACPS_ALGL_BEPE",104,112,0.928571428571429,1,1
"136","BangorDIVERSE",9,"3","52",3,"ALGL_BEPE_FASY",125,147,0.850340136054422,1,1
"137","BangorDIVERSE",9,"3","53",3,"ALGL_BEPE_QURO",123,137,0.897810218978102,1,1
"138","BangorDIVERSE",9,"3","54",2,"BEPE_QURO",100,114,0.87719298245614,1,1
"139","BangorDIVERSE",9,"3","55",2,"BEPE_FREX",95,98,0.969387755102041,1,1
"140","BangorDIVERSE",9,"3","56",1,"BEPE",33,35,0.942857142857143,1,1
"141","BangorDIVERSE",9,"3","57",2,"ALGL_CASA",102,111,0.918918918918919,1,1
"142","BangorDIVERSE",9,"3","58",2,"ACPS_BEPE",109,116,0.939655172413793,1,1
"143","BangorDIVERSE",9,"3","59",1,"ACPS",33,40,0.825,1,1
"144","BangorDIVERSE",9,"3","60",2,"BEPE_CASA",110,121,0.909090909090909,1,1
"145","BangorDIVERSE",9,"3","61",2,"BEPE_CASA",106,112,0.946428571428571,1,1
"146","BangorDIVERSE",9,"3","62",1,"QURO",41,49,0.836734693877551,1,1
"147","BangorDIVERSE",9,"3","63",1,"QURO",53,65,0.815384615384615,1,1
"148","BangorDIVERSE",9,"3","64",2,"BEPE_FASY",98,101,0.97029702970297,1,1
"149","BangorDIVERSE",9,"3","66",2,"ALGL_FREX",100,110,0.909090909090909,1,1
"150","BangorDIVERSE",9,"3","67",3,"ALGL_BEPE_FASY",108,120,0.9,1,1
"151","BangorDIVERSE",9,"3","68",2,"ALGL_FASY",99,99,1,1,1
"152","BangorDIVERSE",9,"3","69",3,"ALGL_BEPE_CASA",136,155,0.87741935483871,1,1
"153","BangorDIVERSE",9,"3","70",3,"ALGL_BEPE_FREX",149,162,0.919753086419753,1,1
"154","BangorDIVERSE",9,"3","71",1,"FASY",50,54,0.925925925925926,1,1
"155","BangorDIVERSE",9,"3","73",3,"ALGL_BEPE_CASA",148,168,0.880952380952381,1,1
"156","BangorDIVERSE",9,"3","74",2,"ALGL_QURO",62,71,0.873239436619718,1,1
"157","BangorDIVERSE",9,"3","75",2,"BEPE_FREX",95,101,0.940594059405941,1,1
"158","BangorDIVERSE",9,"4","76",3,"ACPS_ALGL_BEPE",158,168,0.94047619047619,1,1
"159","BangorDIVERSE",9,"4","77",2,"ACPS_ALGL",59,65,0.907692307692308,1,1
"160","BangorDIVERSE",9,"4","78",3,"ALGL_BEPE_QURO",114,123,0.926829268292683,1,1
