"","Site","Timestamp","Year","Month","Day","tmx","Date","Time"
"1","BangorDIVERSE","1991.01.16",1991,1,16,6.80000019073486,1991-01-16,7685
"2","BEF_China","1991.01.16",1991,1,16,8.30000019073486,1991-01-16,7685
"3","BiodiversiTREE","1991.01.16",1991,1,16,7.70000028610229,1991-01-16,7685
"4","BIOTREE_Kal","1991.01.16",1991,1,16,3.20000004768372,1991-01-16,7685
"5","CM.Hartshorne","1991.01.16",1991,1,16,6.90000009536743,1991-01-16,7685
"6","CM.Hucking","1991.01.16",1991,1,16,6.90000009536743,1991-01-16,7685
"7","CommuniTree","1991.01.16",1991,1,16,9.69999980926514,1991-01-16,7685
"8","FORBIO_Ged","1991.01.16",1991,1,16,5,1991-01-16,7685
"9","FORBIO_Hek","1991.01.16",1991,1,16,6.40000009536743,1991-01-16,7685
"10","FORBIO_Zed","1991.01.16",1991,1,16,6.20000028610229,1991-01-16,7685
"11","Gazi_Bay","1991.01.16",1991,1,16,32.5,1991-01-16,7685
"12","IDENT.auclair","1991.01.16",1991,1,16,-10.6999998092651,1991-01-16,7685
"13","IDENT.cloquet","1991.01.16",1991,1,16,-7.70000028610229,1991-01-16,7685
"14","IDENT.MAC","1991.01.16",1991,1,16,12.1000003814697,1991-01-16,7685
"15","Kreinitz","1991.01.16",1991,1,16,4.70000028610229,1991-01-16,7685
"16","ORPHEE","1991.01.16",1991,1,16,9.69999980926514,1991-01-16,7685
"17","Parker_caging","1991.01.16",1991,1,16,7.59999990463257,1991-01-16,7685
"18","Ridgefield","1991.01.16",1991,1,16,33.1000022888184,1991-01-16,7685
"19","Sabah","1991.01.16",1991,1,16,28.3999996185303,1991-01-16,7685
"20","Sardinilla","1991.01.16",1991,1,16,29,1991-01-16,7685
"21","Satakunta","1991.01.16",1991,1,16,-0.200000002980232,1991-01-16,7685
"22","BangorDIVERSE","1991.02.15",1991,2,15,6.70000028610229,1991-02-15,7715
"23","BEF_China","1991.02.15",1991,2,15,11.6000003814697,1991-02-15,7715
"24","BiodiversiTREE","1991.02.15",1991,2,15,11.9000005722046,1991-02-15,7715
"25","BIOTREE_Kal","1991.02.15",1991,2,15,0.600000023841858,1991-02-15,7715
"26","CM.Hartshorne","1991.02.15",1991,2,15,4.09999990463257,1991-02-15,7715
"27","CM.Hucking","1991.02.15",1991,2,15,4.09999990463257,1991-02-15,7715
"28","CommuniTree","1991.02.15",1991,2,15,9.80000019073486,1991-02-15,7715
"29","FORBIO_Ged","1991.02.15",1991,2,15,3.29999995231628,1991-02-15,7715
"30","FORBIO_Hek","1991.02.15",1991,2,15,4.09999990463257,1991-02-15,7715
"31","FORBIO_Zed","1991.02.15",1991,2,15,3.10000014305115,1991-02-15,7715
"32","Gazi_Bay","1991.02.15",1991,2,15,32.9000015258789,1991-02-15,7715
"33","IDENT.auclair","1991.02.15",1991,2,15,-5.30000019073486,1991-02-15,7715
"34","IDENT.cloquet","1991.02.15",1991,2,15,0.200000002980232,1991-02-15,7715
"35","IDENT.MAC","1991.02.15",1991,2,15,11.1999998092651,1991-02-15,7715
"36","Kreinitz","1991.02.15",1991,2,15,1.20000004768372,1991-02-15,7715
"37","ORPHEE","1991.02.15",1991,2,15,9.80000019073486,1991-02-15,7715
"38","Parker_caging","1991.02.15",1991,2,15,11.5,1991-02-15,7715
"39","Ridgefield","1991.02.15",1991,2,15,32,1991-02-15,7715
"40","Sabah","1991.02.15",1991,2,15,28.3000011444092,1991-02-15,7715
"41","Sardinilla","1991.02.15",1991,2,15,29.8999996185303,1991-02-15,7715
"42","Satakunta","1991.02.15",1991,2,15,-4,1991-02-15,7715
"43","BangorDIVERSE","1991.03.16",1991,3,16,10.6999998092651,1991-03-16,7744
"44","BEF_China","1991.03.16",1991,3,16,13.8000001907349,1991-03-16,7744
"45","BiodiversiTREE","1991.03.16",1991,3,16,14.9000005722046,1991-03-16,7744
"46","BIOTREE_Kal","1991.03.16",1991,3,16,10.3000001907349,1991-03-16,7744
"47","CM.Hartshorne","1991.03.16",1991,3,16,12.1999998092651,1991-03-16,7744
"48","CM.Hucking","1991.03.16",1991,3,16,12.1999998092651,1991-03-16,7744
"49","CommuniTree","1991.03.16",1991,3,16,15.6999998092651,1991-03-16,7744
"50","FORBIO_Ged","1991.03.16",1991,3,16,12.5,1991-03-16,7744
"51","FORBIO_Hek","1991.03.16",1991,3,16,13.6000003814697,1991-03-16,7744
"52","FORBIO_Zed","1991.03.16",1991,3,16,12,1991-03-16,7744
"53","Gazi_Bay","1991.03.16",1991,3,16,33.2999992370605,1991-03-16,7744
"54","IDENT.auclair","1991.03.16",1991,3,16,0.200000002980232,1991-03-16,7744
"55","IDENT.cloquet","1991.03.16",1991,3,16,3.40000009536743,1991-03-16,7744
"56","IDENT.MAC","1991.03.16",1991,3,16,15.4000005722046,1991-03-16,7744
"57","Kreinitz","1991.03.16",1991,3,16,11.4000005722046,1991-03-16,7744
"58","ORPHEE","1991.03.16",1991,3,16,15.6999998092651,1991-03-16,7744
"59","Parker_caging","1991.03.16",1991,3,16,13.9000005722046,1991-03-16,7744
"60","Ridgefield","1991.03.16",1991,3,16,28.8999996185303,1991-03-16,7744
"61","Sabah","1991.03.16",1991,3,16,29.3999996185303,1991-03-16,7744
"62","Sardinilla","1991.03.16",1991,3,16,30.8000011444092,1991-03-16,7744
"63","Satakunta","1991.03.16",1991,3,16,1.70000004768372,1991-03-16,7744
"64","BangorDIVERSE","1991.04.16",1991,4,16,11.3000001907349,1991-04-16,7775
"65","BEF_China","1991.04.16",1991,4,16,19.5,1991-04-16,7775
"66","BiodiversiTREE","1991.04.16",1991,4,16,20.8000011444092,1991-04-16,7775
"67","BIOTREE_Kal","1991.04.16",1991,4,16,11.6000003814697,1991-04-16,7775
"68","CM.Hartshorne","1991.04.16",1991,4,16,12.3000001907349,1991-04-16,7775
"69","CM.Hucking","1991.04.16",1991,4,16,12.3000001907349,1991-04-16,7775
"70","CommuniTree","1991.04.16",1991,4,16,16,1991-04-16,7775
"71","FORBIO_Ged","1991.04.16",1991,4,16,13.4000005722046,1991-04-16,7775
"72","FORBIO_Hek","1991.04.16",1991,4,16,14.5,1991-04-16,7775
"73","FORBIO_Zed","1991.04.16",1991,4,16,12.3000001907349,1991-04-16,7775
"74","Gazi_Bay","1991.04.16",1991,4,16,31.8999996185303,1991-04-16,7775
"75","IDENT.auclair","1991.04.16",1991,4,16,7.5,1991-04-16,7775
"76","IDENT.cloquet","1991.04.16",1991,4,16,13.1999998092651,1991-04-16,7775
"77","IDENT.MAC","1991.04.16",1991,4,16,14.8000001907349,1991-04-16,7775
"78","Kreinitz","1991.04.16",1991,4,16,13.9000005722046,1991-04-16,7775
"79","ORPHEE","1991.04.16",1991,4,16,16,1991-04-16,7775
"80","Parker_caging","1991.04.16",1991,4,16,20.2000007629395,1991-04-16,7775
"81","Ridgefield","1991.04.16",1991,4,16,26,1991-04-16,7775
"82","Sabah","1991.04.16",1991,4,16,29.8000011444092,1991-04-16,7775
"83","Sardinilla","1991.04.16",1991,4,16,31.2000007629395,1991-04-16,7775
"84","Satakunta","1991.04.16",1991,4,16,7.70000028610229,1991-04-16,7775
"85","BangorDIVERSE","1991.05.16",1991,5,16,14.6999998092651,1991-05-16,7805
"86","BEF_China","1991.05.16",1991,5,16,24.8000011444092,1991-05-16,7805
"87","BiodiversiTREE","1991.05.16",1991,5,16,28,1991-05-16,7805
"88","BIOTREE_Kal","1991.05.16",1991,5,16,13.3000001907349,1991-05-16,7805
